Address,Price,Beds,Baths,Space
"16 Queensdale Ave, Toronto, Ontario M4J 1X9","$550,000 CAD",,,
"84 Manderley Dr, Toronto, Ontario M1N3E9","$799,900 CAD",3 BedsBds,2 BathsBa,
"92 KING ST E 1204, Toronto, Ontario M5C2V8","$659,000 CAD",2 BedsBds,1 BathBa,
"27 ARROWSMITH AVE, Toronto, Ontario M6M2W8","$1,188,000 CAD",3 BedsBds,2 BathsBa,
"2995 KEELE ST 924, Toronto, Ontario M3M2G9","$549,900 CAD",2 BedsBds,1 BathBa,
"716 The West Mall, Toronto, Ontario M9C 4X6","$539,900 CAD",2 BedsBds,2 BathsBa,
"379 QUEBEC AVE, Toronto, Ontario M6P2V5","$1,279,000 CAD",4 BedsBds,2 BathsBa,
"331 ROYAL YORK RD, Toronto, Ontario M8Y2P8","$1,199,000 CAD",3 BedsBds,3 BathsBa,
"3391 BLOOR ST W 304, Toronto, Ontario M8X1G3","$559,800 CAD",2 BedsBds,1 BathBa,
"27 Cheetah Cres, Toronto, Ontario M1X1X1","$799,900 CAD",3 BedsBds,3 BathsBa,
"22 DAYTON AVE, Toronto, Ontario M8Z3L7","$849,000 CAD",3 BedsBds,2 BathsBa,
"100 Upper Madison Ave 1003, Toronto, Ontario M2N6M4","$769,900 CAD",2 BedsBds,2 BathsBa,
"688 THE WEST MALL ST, Toronto, Ontario M9C1H3","$998,000 CAD",6 BedsBds,4 BathsBa,
"125 VILLAGE GREEN SQ 1108, Toronto, Ontario M1S0G3","$599,900 CAD",2 BedsBds,2 BathsBa,
"4064 Lawrence Ave E 505, Toronto, Ontario M1E4V6","$299,999 CAD",3 BedsBds,1 BathBa,
"215 FORT YORK BLVD 809, Toronto, Ontario M5V4A2","$630,000 CAD",2 BedsBds,1 BathBa,
"290 ADELAIDE ST W 2903, Toronto, Ontario M5V1P6","$449,000 CAD",,1 BathBa,
"83 LADYSBRIDGE DR, Toronto, Ontario M1G3H8","$929,000 CAD",5 BedsBds,3 BathsBa,
"330 Dixon Rd, Toronto, Ontario M9R1S9","$369,000 CAD",1 BedBd,1 BathBa,
"285 MUTUAL ST 2103, Toronto, Ontario M4Y3C5","$655,000 CAD",1 BedBd,1 BathBa,
"18 Spring Garden Ave 3510, Toronto, Ontario M2N7M2","$799,999 CAD",3 BedsBds,2 BathsBa,
"621 Pape Ave, Toronto, Ontario M4K3R9","$850,000 CAD",3 BedsBds,1 BathBa,
"139 MERTON ST 455, Toronto, Ontario M4S3G7","$669,000 CAD",1 BedBd,2 BathsBa,
