Address,Price,Beds,Baths,Space
"10 Glenbourne Park Dr, Markham, Ontario L6C1H7","$6,888,000 CAD",6 BedsBds,8 BathsBa,
"55 Lindcrest Manr, Markham, Ontario","$749,000 CAD",3 BedsBds,3 BathsBa,"1,600 SqftSqft"
"128 HILLWOOD ST, Markham, Ontario L6C0B8","$829,000 CAD",3 BedsBds,3 BathsBa,
"268 BUCHANAN DR 311W, Markham, Ontario L3R8G9","$829,900 CAD",3 BedsBds,2 BathsBa,
"154 MAJOR BUTTONS DR, Markham, Ontario L3P3X6","$1,400,000 CAD",4 BedsBds,4 BathsBa,
"342 Mingay Ave, Markham, Ontario","$988,000 CAD",3 BedsBds,4 BathsBa,"1,500 SqftSqft"
"$11 Clendenen Crt, Markham, Ontario","$1,588,000 CAD",4 BedsBds,4 BathsBa,
"20 Abercorn Rd, Markham, Ontario","$1,290,000 CAD",3 BedsBds,2 BathsBa,
"47 Thatchers Mill Way, Markham, Ontario","$699,999 CAD",3 BedsBds,2 BathsBa,"1,200 SqftSqft"
"$23 Michener Cres, Markham, Ontario","$998,000 CAD",3 BedsBds,3 BathsBa,
"55 Feeney Lane, Markham, Ontario","$1,248,000 CAD",2 BedsBds,4 BathsBa,"1,500 SqftSqft"
"$225 Fred Mclaren Blvd, Markham, Ontario","$999,000 CAD",4 BedsBds,3 BathsBa,
"691 DENISON ST, Markham, Ontario L3R1B8",$1 CAD,,,
"$541 White's Hill Ave, Markham, Ontario","$1,299,990 CAD",4 BedsBds,4 BathsBa,
"$85 Romfield Crct, Markham, Ontario","$1,849,000 CAD",4 BedsBds,4 BathsBa,
"9506 MARKHAM RD 317, Markham, Ontario L6E0S5","$648,000 CAD",2 BedsBds,2 BathsBa,
"14 LIBRARY LANE, Markham, Ontario L3R5T6","$1,980,000 CAD",5 BedsBds,4 BathsBa,
"534 COUNTRY GLEN RD, Markham, Ontario L6B1H4","$999,800 CAD",3 BedsBds,3 BathsBa,
"36 The Barley Lea St, Markham, Ontario","$828,800 CAD",3 BedsBds,4 BathsBa,
"$231 Fred Mclaren Blvd, Markham, Ontario","$998,880 CAD",4 BedsBds,3 BathsBa,
"9 Stollery Pond Cres 615, Markham, Ontario L6C 0Y1","$999,000 CAD",2 BedsBds,2 BathsBa,
"2 Gainsville Ave, Markham, Ontario L3R1W6","$2,780,000 CAD",4 BedsBds,4 BathsBa,
"180 ENTERPRISE BLVD 408, Markham, Ontario L6G0G4","$599,000 CAD",1 BedBd,1 BathBa,
"48 Ellingwood Crt, Markham, Ontario","$1,688,888 CAD",4 BedsBds,4 BathsBa,
"8 FAIRFIELD PL, Markham, Ontario L3T7M7","$6,998,888 CAD",7 BedsBds,8 BathsBa,
"26 Mckennon St, Markham, Ontario L6E 1H5","$1,725,800 CAD",6 BedsBds,5 BathsBa,
"743 CABOTO TR, Markham, Ontario L3R5W4","$1,146,000 CAD",5 BedsBds,4 BathsBa,
"36 Bernadotte Dr, Markham, Ontario L6C3H1","$3,788,000 CAD",4 BedsBds,4 BathsBa,
"$60 Donald Buttress Blvd W, Markham, Ontario","$1,088,000 CAD",3 BedsBds,4 BathsBa,
"14 Berkeley Crt, Markham, Ontario","$1,299,000 CAD",4 BedsBds,4 BathsBa,
"20 COUNT CRYSTAN AVE, Markham, Ontario L6C0K3","$2,388,000 CAD",5 BedsBds,4 BathsBa,
"378 CORNELL ROUGE BLVD, Markham, Ontario L6B0T8","$899,888 CAD",4 BedsBds,3 BathsBa,
"17 Alanadale Ave, Markham, Ontario L3P 1S4","$988,000 CAD",5 BedsBds,2 BathsBa,
"5077 14TH AVE E, Markham, Ontario L3S3Y4","$1,299,000 CAD",,,
"37 Roman Rd, Markham, Ontario","$1,500,000 CAD",5 BedsBds,4 BathsBa,"2,500 SqftSqft"
